id,email,nickname,password,first_name,last_name,contact_number,address,registration_date,loyalty_points,tier,role
200,customer200@example.com,Charlie,password123_u200,Charlie,Fababier,09123450200,"26 Luna St, Makati City",2025-10-31 06:11:57,2286,New,customer
201,customer201@example.com,Charlie,password123_u201,Charlie,Brown,09123450201,"914 Taft St, Quezon City",2026-03-22 21:30:48,6912,New,customer
202,customer202@example.com,Lei,password123_u202,Lei,Fababier,09123450202,"224 Rizal St, Taguig",2026-03-27 08:56:44,434,Regular,customer
203,customer203@example.com,Diana,password123_u203,Diana,Taylor,09123450203,"719 Taft St, Pasig City",2025-10-30 04:22:47,7359,Loyal,customer
204,customer204@example.com,Eve,password123_u204,Eve,Camorongan,09123450204,"778 Rizal St, Pasig City",2025-12-15 17:05:20,4552,Regular,customer
205,customer205@example.com,Mhaine,password123_u205,Mhaine,Williams,09123450205,"345 Mabini St, Quezon City",2025-12-31 02:54:12,1584,Loyal,customer
206,customer206@example.com,Frank,password123_u206,Frank,Lopez,09123450206,"619 Luna St, Quezon City",2026-05-15 23:19:03,7527,New,customer
207,customer207@example.com,Lance,password123_u207,Lance,Fababier,09123450207,"566 Luna St, Taguig",2026-07-15 10:43:58,5925,Regular,customer
208,customer208@example.com,Diana,password123_u208,Diana,Fababier,09123450208,"47 Rizal St, Manila",2025-09-05 13:26:22,3814,New,customer
209,customer209@example.com,Lance,password123_u209,Lance,Jamot,09123450209,"465 Luna St, Makati City",2025-12-27 08:03:40,5820,Regular,customer
210,customer210@example.com,Charlie,password123_u210,Charlie,Jamot,09123450210,"719 Mabini St, Taguig",2026-04-09 04:09:03,2803,Regular,customer
211,customer211@example.com,Leo,password123_u211,Leo,Reyes,09123450211,"389 Luna St, Taguig",2025-10-29 20:41:10,5313,New,customer
212,customer212@example.com,Mhaine,password123_u212,Mhaine,Camorongan,09123450212,"825 Luna St, Pasig City",2025-11-17 13:15:01,1084,Regular,customer
213,customer213@example.com,Bob,password123_u213,Bob,Brown,09123450213,"323 Rizal St, Pasig City",2026-01-06 05:16:51,7517,Regular,customer
214,customer214@example.com,Jonas,password123_u214,Jonas,Aceitunas,09123450214,"253 Taft St, Taguig",2025-11-15 14:39:13,9577,VIP,customer
215,customer215@example.com,Bob,password123_u215,Bob,Dayawon,09123450215,"371 Rizal St, Makati City",2026-02-19 10:51:13,8085,New,customer
216,customer216@example.com,Eve,password123_u216,Eve,Camorongan,09123450216,"882 Mabini St, Makati City",2026-04-06 05:56:43,2621,VIP,customer
217,customer217@example.com,Bob,password123_u217,Bob,Fababier,09123450217,"395 Bonifacio St, Taguig",2026-02-03 08:15:56,8669,Loyal,customer
218,customer218@example.com,Alice,password123_u218,Alice,Camorongan,09123450218,"697 Mabini St, Taguig",2026-05-24 04:24:46,4371,Loyal,customer
219,customer219@example.com,Jarell,password123_u219,Jarell,Jamot,09123450219,"446 Rizal St, Pasig City",2025-08-06 19:58:22,4315,Regular,customer
220,customer220@example.com,Alice,password123_u220,Alice,Fababier,09123450220,"892 Luna St, Taguig",2026-03-30 01:44:17,3258,Regular,customer
221,customer221@example.com,Roman,password123_u221,Roman,Williams,09123450221,"166 Taft St, Taguig",2026-07-28 06:42:15,9,Loyal,customer
222,customer222@example.com,Joshua,password123_u222,Joshua,Camorongan,09123450222,"115 Luna St, Manila",2025-11-06 13:34:54,949,Regular,customer
223,customer223@example.com,Bob,password123_u223,Bob,Fababier,09123450223,"88 Bonifacio St, Quezon City",2026-05-27 23:03:01,8727,Regular,customer
224,customer224@example.com,Leo,password123_u224,Leo,Taylor,09123450224,"487 Taft St, Makati City",2025-11-16 12:13:52,8645,VIP,customer
225,customer225@example.com,Mhaine,password123_u225,Mhaine,Smith,09123450225,"774 Rizal St, Manila",2026-01-07 12:36:07,6118,VIP,customer
226,customer226@example.com,Alice,password123_u226,Alice,Reyes,09123450226,"124 Rizal St, Makati City",2025-08-30 10:29:20,5539,New,customer
227,customer227@example.com,Bob,password123_u227,Bob,Smith,09123450227,"236 Taft St, Makati City",2025-08-08 08:44:52,1163,New,customer
228,customer228@example.com,Mhaine,password123_u228,Mhaine,Fababier,09123450228,"928 Mabini St, Manila",2025-09-02 02:09:46,8423,Regular,customer
229,customer229@example.com,Jonas,password123_u229,Jonas,Taylor,09123450229,"498 Rizal St, Taguig",2025-09-25 22:57:36,9355,VIP,customer
230,customer230@example.com,Mhaine,password123_u230,Mhaine,Williams,09123450230,"485 Bonifacio St, Makati City",2025-09-11 04:54:16,1588,VIP,customer
231,customer231@example.com,Roman,password123_u231,Roman,Dayawon,09123450231,"421 Bonifacio St, Quezon City",2026-04-24 01:56:12,1612,New,customer
232,customer232@example.com,Lance,password123_u232,Lance,Brown,09123450232,"348 Mabini St, Makati City",2025-10-18 23:28:24,3116,VIP,customer
233,customer233@example.com,Leo,password123_u233,Leo,Dayawon,09123450233,"188 Luna St, Pasig City",2025-11-10 14:05:21,1235,VIP,customer
234,customer234@example.com,Eve,password123_u234,Eve,Smith,09123450234,"101 Mabini St, Taguig",2026-06-26 06:03:58,241,New,customer
235,customer235@example.com,Eve,password123_u235,Eve,Sebido,09123450235,"171 Bonifacio St, Pasig City",2026-02-08 12:18:36,3502,VIP,customer
236,customer236@example.com,Lei,password123_u236,Lei,Aceitunas,09123450236,"389 Mabini St, Pasig City",2025-11-16 13:35:45,7454,Loyal,customer
237,customer237@example.com,Lance,password123_u237,Lance,Brown,09123450237,"981 Taft St, Pasig City",2025-10-04 16:32:07,3111,Loyal,customer
238,customer238@example.com,Mhaine,password123_u238,Mhaine,Camorongan,09123450238,"594 Taft St, Quezon City",2026-05-23 01:21:43,5138,New,customer
239,customer239@example.com,Lei,password123_u239,Lei,Jones,09123450239,"489 Taft St, Taguig",2025-10-05 17:06:13,931,New,customer
240,customer240@example.com,Frank,password123_u240,Frank,Aceitunas,09123450240,"71 Taft St, Quezon City",2026-04-24 19:09:41,3853,VIP,customer
241,customer241@example.com,Jarell,password123_u241,Jarell,Jones,09123450241,"253 Taft St, Taguig",2025-08-21 00:08:36,1343,VIP,customer
242,customer242@example.com,Charlie,password123_u242,Charlie,Jones,09123450242,"579 Taft St, Manila",2026-08-03 13:49:05,4272,Regular,customer
243,customer243@example.com,Charlie,password123_u243,Charlie,Brown,09123450243,"322 Rizal St, Manila",2026-01-06 06:42:57,2144,Loyal,customer
244,customer244@example.com,Joshua,password123_u244,Joshua,Lopez,09123450244,"952 Mabini St, Quezon City",2026-01-30 13:15:18,9224,New,customer
245,customer245@example.com,Jarell,password123_u245,Jarell,Smith,09123450245,"219 Taft St, Manila",2025-09-26 00:18:32,5718,New,customer
246,customer246@example.com,Mhaine,password123_u246,Mhaine,Lopez,09123450246,"292 Rizal St, Pasig City",2026-06-25 08:47:26,8900,Loyal,customer
247,customer247@example.com,Bob,password123_u247,Bob,Williams,09123450247,"670 Taft St, Quezon City",2026-04-21 22:39:38,9086,Loyal,customer
248,customer248@example.com,Charlie,password123_u248,Charlie,Fababier,09123450248,"962 Rizal St, Manila",2025-09-19 09:35:51,1753,Regular,customer
249,customer249@example.com,Jonas,password123_u249,Jonas,Jamot,09123450249,"620 Rizal St, Manila",2025-10-23 15:23:20,4325,VIP,customer
250,customer250@example.com,Jonas,password123_u250,Jonas,Camorongan,09123450250,"95 Bonifacio St, Manila",2025-08-22 16:38:34,58,Loyal,customer
251,customer251@example.com,Eve,password123_u251,Eve,Aceitunas,09123450251,"653 Luna St, Makati City",2026-05-20 10:29:50,7239,VIP,customer
252,customer252@example.com,Alice,password123_u252,Alice,Camorongan,09123450252,"115 Mabini St, Makati City",2026-03-05 10:59:40,590,Loyal,customer
253,customer253@example.com,Bob,password123_u253,Bob,Smith,09123450253,"152 Bonifacio St, Makati City",2025-08-21 19:35:51,5050,Loyal,customer
254,customer254@example.com,Eve,password123_u254,Eve,Camorongan,09123450254,"921 Luna St, Makati City",2026-04-27 11:02:48,4088,New,customer
255,customer255@example.com,Roman,password123_u255,Roman,Williams,09123450255,"574 Bonifacio St, Taguig",2026-05-23 15:21:43,2532,Regular,customer
