id,email,nickname,password,first_name,last_name,contact_number,address,registration_date,loyalty_points,tier,role
1,91e31340@example.com,b46de,placeholder1,Leo,Fababier,09483078629,"6114 Rizal St., Manila",2025-10-25 02:35:38.293298,10220,Regular,customer
2,7f926c6f@example.com,8c77,placeholder2,Roman,Aceitunas,09941875334,"5977 Bonifacio St., Quezon City",2026-05-11 02:35:38.293298,5628,New,customer
3,b2eccb77@example.com,cd47,placeholder3,Mhaine,Fababier,09811340517,"3032 Bonifacio St., Makati City",2025-05-19 02:35:38.293298,9874,Regular,customer
4,124e6a29@example.com,0a7,placeholder4,Mhaine,Jamot,09361696690,"7963 Rizal St., Pasig City",2026-03-12 02:35:38.293298,34,New,customer
5,adfb2706@example.com,9cb8,placeholder5,Jonas,Dayawon,09761028216,"7563 Bonifacio St., Pasig City",2025-12-10 02:35:38.293298,7795,New,customer
6,247d77d5@example.com,77bc,placeholder6,Jonas,Sebido,09772663358,"6443 Taft St., Quezon City",2026-05-21 02:35:38.293298,6049,Regular,customer
7,4dab1f61@example.com,eca,placeholder7,Leo,Reyes,09441476888,"948 Taft St., Makati City",2025-04-10 02:35:38.293298,9484,New,customer
8,a4e78115@example.com,83c,placeholder8,Jarell,Aceitunas,09625130068,"3134 Mabini St., Makati City",2026-05-17 02:35:38.293298,3219,Loyal,customer
9,fc9f8240@example.com,3816b,placeholder9,Mhaine,Sebido,09307342625,"5758 Taft St., Pasig City",2025-12-24 02:35:38.293298,5740,Regular,customer
10,9c887788@example.com,1404,placeholder10,Lei,Camorongan,09317514014,"5208 Rizal St., Manila",2026-03-11 02:35:38.293298,11577,Loyal,customer
11,1e942d3c@example.com,7cf,placeholder11,Jarell,Camorongan,09907922527,"997 Mabini St., Makati City",2026-04-14 02:35:38.293298,4594,Regular,customer
12,f86da1e3@example.com,e02e0,placeholder12,Mhaine,Camorongan,09819461647,"7693 Luna St., Quezon City",2025-06-14 02:35:38.293298,2424,VIP,customer
13,e99d8c09@example.com,7b527,placeholder13,Leo,Fababier,09456299806,"2271 Rizal St., Pasig City",2025-04-17 02:35:38.293298,6429,Regular,customer
14,3641afc7@example.com,4f9df,placeholder14,Lance,Jamot,09161336054,"8575 Mabini St., Manila",2025-12-03 02:35:38.293298,9616,New,customer
15,9805d964@example.com,0c8,placeholder15,Jarell,Reyes,09472046226,"6510 Luna St., Manila",2025-12-19 02:35:38.293298,7340,New,customer
16,06449322@example.com,4a7a,placeholder16,Leo,Fababier,09892774461,"5657 Bonifacio St., Pasig City",2025-11-01 02:35:38.293298,9628,Regular,customer
17,75ac0ac4@example.com,bfe,placeholder17,Jonas,Reyes,09456535120,"7009 Rizal St., Makati City",2025-06-05 02:35:38.293298,7660,Regular,customer
18,4dd0ac43@example.com,d0664,placeholder18,Joshua,Dayawon,09153747030,"1296 Mabini St., Pasig City",2025-10-11 02:35:38.293298,10137,VIP,customer
19,f3e0e340@example.com,a29a,placeholder19,Roman,Reyes,09439225842,"1752 Taft St., Pasig City",2025-06-13 02:35:38.293298,7461,Loyal,customer
20,8a46e8a0@example.com,ab254,placeholder20,Jonas,Reyes,09522155440,"7146 Mabini St., Quezon City",2026-04-24 02:35:38.293298,14356,VIP,customer
21,53db418c@example.com,459,placeholder21,Mhaine,Sebido,09779976862,"2612 Luna St., Manila",2025-09-03 02:35:38.293298,2401,VIP,customer
22,36f558b6@example.com,460dd,placeholder22,Roman,Dayawon,09812022210,"9638 Mabini St., Quezon City",2026-07-24 02:35:38.293298,4340,New,customer
23,a530178a@example.com,55eac,placeholder23,Jonas,Dayawon,09841187177,"2345 Taft St., Manila",2025-06-11 02:35:38.293298,14031,New,customer
24,a3974120@example.com,d96,placeholder24,Lei,Fababier,09371356433,"5963 Taft St., Makati City",2026-04-03 02:35:38.293298,14181,Loyal,customer
25,da2ea226@example.com,18ded,placeholder25,Leo,Jamot,09177014186,"2621 Mabini St., Makati City",2025-07-01 02:35:38.293298,5497,Regular,customer
26,19e4678e@example.com,fe8,placeholder26,Jarell,Lopez,09645437906,"2747 Taft St., Taguig",2025-08-13 02:35:38.293298,896,New,customer
27,eaea905c@example.com,2c2,placeholder27,Joshua,Fababier,09489110874,"7816 Taft St., Pasig City",2025-07-11 02:35:38.293298,10906,New,customer
28,8e573078@example.com,3d83b,placeholder28,Leo,Fababier,09245872035,"6621 Luna St., Taguig",2026-05-28 02:35:38.293298,14657,VIP,customer
29,38a314df@example.com,811,placeholder29,Joshua,Camorongan,09719265296,"6212 Rizal St., Pasig City",2026-05-22 02:35:38.293298,3333,Loyal,customer
30,52bb3198@example.com,a5bf9,placeholder30,Lei,Jamot,09255758540,"1680 Mabini St., Makati City",2025-04-23 02:35:38.293298,7260,New,customer
