id,email,nickname,password,first_name,last_name,contact_number,address,registration_date,loyalty_points,tier,role
1,509e7fc7@example.com,47a,placeholder1,Lei,Camorongan,09697221408,"3439 Mabini St., Manila",2025-12-10 02:35:41.312132,13692,New,customer
2,cc95008a@example.com,d8d29,placeholder2,Jarell,Reyes,09318821232,"3756 Mabini St., Quezon City",2025-09-24 02:35:41.312132,8146,New,customer
3,d60c3ee9@example.com,64f31,placeholder3,Leo,Lopez,09314993775,"413 Taft St., Manila",2025-07-19 02:35:41.312132,3909,New,customer
4,5a6f83d4@example.com,9cdc7,placeholder4,Jarell,Jamot,09277961499,"5691 Luna St., Manila",2026-04-22 02:35:41.312132,2786,VIP,customer
5,917f9a6a@example.com,8b2,placeholder5,Lance,Dayawon,09486200164,"5486 Luna St., Taguig",2026-02-03 02:35:41.312132,2187,Regular,customer
6,578340ed@example.com,dfb,placeholder6,Jonas,Camorongan,09347647540,"2186 Luna St., Pasig City",2026-08-03 02:35:41.312132,8209,Regular,customer
7,f9fc094e@example.com,9067d,placeholder7,Roman,Dayawon,09438548596,"8926 Luna St., Manila",2026-01-09 02:35:41.312132,11731,VIP,customer
8,7c075fd3@example.com,afc9,placeholder8,Jonas,Jamot,09108547588,"7372 Rizal St., Pasig City",2025-06-06 02:35:41.312132,2470,VIP,customer
9,dd9532d6@example.com,cb4aa,placeholder9,Mhaine,Dayawon,09322087453,"9400 Rizal St., Taguig",2026-02-02 02:35:41.312132,3548,Loyal,customer
10,7eeca9c8@example.com,c64,placeholder10,Roman,Reyes,09147548356,"4967 Bonifacio St., Taguig",2025-04-09 02:35:41.312132,10554,Loyal,customer
11,b43578a6@example.com,a7223,placeholder11,Leo,Jamot,09557253549,"8584 Bonifacio St., Quezon City",2025-06-27 02:35:41.312132,3365,New,customer
12,05350058@example.com,974b,placeholder12,Jarell,Dayawon,09821223703,"6171 Taft St., Makati City",2025-08-22 02:35:41.312132,14634,New,customer
13,539aeee7@example.com,750,placeholder13,Jonas,Lopez,09921116734,"3244 Bonifacio St., Pasig City",2026-06-27 02:35:41.312132,7070,New,customer
14,11cbbc4d@example.com,2d3c,placeholder14,Roman,Dayawon,09185823529,"764 Rizal St., Makati City",2026-03-25 02:35:41.312132,14409,Regular,customer
15,d5db0e04@example.com,ff11d,placeholder15,Jonas,Lopez,09823460218,"3137 Rizal St., Taguig",2026-04-16 02:35:41.312132,9315,Regular,customer
16,46e49c31@example.com,be9a9,placeholder16,Leo,Sebido,09531660067,"1512 Taft St., Pasig City",2025-06-17 02:35:41.312132,1268,VIP,customer
17,2f264ce1@example.com,9a4b,placeholder17,Mhaine,Reyes,09686844980,"6505 Luna St., Quezon City",2026-01-26 02:35:41.312132,6082,Loyal,customer
18,2179bced@example.com,99727,placeholder18,Roman,Aceitunas,09402124742,"6752 Taft St., Makati City",2025-06-11 02:35:41.312132,3956,New,customer
19,436225ac@example.com,146ee,placeholder19,Mhaine,Camorongan,09371887660,"1358 Rizal St., Quezon City",2025-04-14 02:35:41.312132,2204,VIP,customer
20,c8debcff@example.com,2be4c,placeholder20,Lance,Camorongan,09671286007,"71 Mabini St., Manila",2026-05-10 02:35:41.312132,1357,Regular,customer
21,993fe872@example.com,f985,placeholder21,Lei,Camorongan,09831359460,"2290 Rizal St., Quezon City",2025-09-23 02:35:41.312132,10374,VIP,customer
22,abe9b5e3@example.com,aa0a0,placeholder22,Jarell,Lopez,09574722550,"6781 Mabini St., Manila",2025-07-29 02:35:41.312132,2965,New,customer
23,cb75694b@example.com,877,placeholder23,Leo,Camorongan,09534930608,"5609 Mabini St., Makati City",2026-07-28 02:35:41.312132,9202,Loyal,customer
24,107ec3c9@example.com,c98,placeholder24,Jarell,Aceitunas,09904571794,"9511 Bonifacio St., Quezon City",2026-06-06 02:35:41.312132,7964,Loyal,customer
25,d25eb398@example.com,94067,placeholder25,Lei,Lopez,09647508137,"1335 Luna St., Makati City",2025-11-27 02:35:41.312132,12065,Loyal,customer
26,d16e041c@example.com,82d71,placeholder26,Jarell,Sebido,09897294023,"3556 Rizal St., Pasig City",2025-11-26 02:35:41.312132,3379,Regular,customer
27,f991ba4d@example.com,9c81,placeholder27,Leo,Camorongan,09277272609,"9417 Mabini St., Makati City",2025-08-15 02:35:41.312132,8511,Regular,customer
28,d875860d@example.com,9fe8c,placeholder28,Lance,Lopez,09526891170,"7710 Luna St., Manila",2025-06-01 02:35:41.312132,10031,New,customer
29,98e93362@example.com,250e,placeholder29,Jarell,Lopez,09645403810,"7854 Luna St., Pasig City",2025-09-24 02:35:41.312132,11190,VIP,customer
